state,postcode,individuals,taxable_individuals,total_taxable_income,avg_taxable_income,median_taxable_income,rank_australia,rank_state
NSW,2211,10754,10639,742156933,69012,56651,1024,267
NSW,2212,10312,10189,691442267,67052,55650,1163,299
NSW,2213,13949,13825,1052786163,75474,62323,677,192
NSW,2214,2471,2452,175602235,71065,61316,903,241
NSW,2216,19510,19268,1293525846,66301,54996,1208,307
NSW,2217,19804,19590,1403506101,70870,58431,910,243
NSW,2218,10924,10784,721435199,66041,55132,1226,311
NSW,2219,8330,8258,703559271,84461,61156,395,130
NSW,2220,24094,23680,1414608637,58712,48277,1760,423
NSW,2221,11056,10952,976883976,88358,58173,332,118
NSW,2222,8320,8229,563956098,67783,54956,1097,284
NSW,2223,14153,14049,1235493429,87296,63059,349,122
NSW,2224,9187,9117,871392500,94851,59574,242,95
NSW,2225,3571,3543,385287646,107893,73130,140,63
NSW,2226,8258,8209,754673721,91387,69978,288,107
NSW,2227,9775,9717,866877356,88683,68115,327,117
NSW,2228,13418,13333,1142005115,85110,65611,384,127
NSW,2229,20049,19912,1954397034,97481,67405,209,83
NSW,2230,21196,21049,2248333096,106073,69372,150,67
NSW,2231,1505,1491,125701133,83522,58517,426,136
NSW,2232,22529,22379,1855860693,82377,67804,448,144
NSW,2233,18734,18639,1463930932,78143,65638,578,166
NSW,2234,19991,19853,1681661654,84121,65884,407,131
NSW,2250,42751,42341,2960331492,69246,54952,1008,260
NSW,2251,19891,19751,1472914143,74049,53776,750,206
NSW,2256,8878,8776,589749439,66428,50842,1197,304
NSW,2257,16760,16591,1176569775,70201,50969,956,252
NSW,2258,3265,3240,232769027,71292,56021,889,239
NSW,2259,37663,37324,2398116740,63673,53514,1388,342
NSW,2260,16170,16044,1406294207,86969,58288,353,124
NSW,2261,31405,31158,2060984325,65626,52954,1261,317
NSW,2262,11358,11247,650195077,57246,51362,1861,445
NSW,2263,12701,12566,737911678,58099,50168,1799,435
NSW,2264,8913,8820,549924196,61699,48913,1531,376
NSW,2265,4569,4530,296157544,64819,55138,1311,324
NSW,2267,1672,1661,102650351,61394,46408,1546,380
NSW,2278,1588,1574,102372604,64466,57158,1337,330
NSW,2280,16184,16062,1142395199,70588,55478,932,249
NSW,2281,8699,8641,597992612,68743,52858,1042,271
NSW,2282,10030,9971,783864044,78152,57379,577,165
NSW,2283,13830,13704,932935732,67457,51803,1132,292
NSW,2284,7483,7442,515316208,68865,57643,1027,268
NSW,2285,20637,20496,1403566795,68012,59561,1081,281
NSW,2286,2726,2706,174303031,63941,56428,1374,337
NSW,2287,24734,24552,1633033448,66024,56553,1227,312
NSW,2289,12927,12842,979914917,75804,62504,660,186
NSW,2290,21185,21047,1550727290,73199,59044,792,220
NSW,2291,9476,9435,1039442678,109692,66902,130,59
NSW,2292,1761,1747,130867310,74314,63547,728,201
NSW,2293,2415,2399,183058913,75801,67200,662,188
NSW,2294,1293,1283,96078311,74307,61307,729,202
NSW,2295,4482,4449,325116882,72538,59837,822,224
NSW,2296,1441,1433,106918026,74197,61010,736,203
NSW,2297,1214,1199,89387137,73630,59772,768,213
NSW,2298,5865,5821,386966699,65979,57978,1231,315
NSW,2299,7200,7135,460613128,63974,53515,1372,336
NSW,2300,8948,8875,898401861,100403,63500,189,82
NSW,2302,963,960,68956327,71606,63648,869,233
NSW,2303,5887,5838,480284797,81584,57311,473,148
NSW,2304,9245,9178,611502605,66144,58225,1220,310
NSW,2305,8433,8388,700111093,83020,62198,437,140
NSW,2306,1144,1120,52583001,45964,41673,2511,597
NSW,2307,2644,2621,150029283,56743,51709,1904,451
NSW,2308,231,227,5200951,22515,17887,2617,628
NSW,2311,538,533,29092049,54074,40181,2131,502
NSW,2312,846,823,44082872,52107,43244,2250,529
NSW,2315,8884,8798,566835558,63804,45374,1381,339
NSW,2316,3780,3751,223923206,59239,47004,1726,415
NSW,2317,3686,3652,225531448,61186,45380,1561,384
NSW,2318,8444,8377,585819275,69377,57171,1001,258
NSW,2319,3503,3474,193254858,55168,46130,2044,484
NSW,2320,23629,23436,1710338840,72383,57864,828,226
NSW,2321,13004,12911,1078005787,82898,59925,439,141
NSW,2322,15123,15010,1035836854,68494,59619,1059,274
NSW,2323,15199,15069,1027788939,67622,57098,1114,288
NSW,2324,14095,13936,823718336,58440,48799,1781,430
NSW,2325,15975,15820,1003443038,62813,52074,1452,356
NSW,2326,4206,4167,261469081,62166,53796,1504,370
NSW,2327,4120,4081,245294022,59537,53375,1700,408
NSW,2328,1470,1453,99780555,67878,54937,1087,282
NSW,2329,1155,1134,62582077,54184,46809,2120,499
NSW,2330,12878,12755,1015452908,78852,58673,543,161
NSW,2333,7649,7545,565717123,73960,59014,754,207
NSW,2334,2151,2133,154159057,71669,61294,867,232
NSW,2335,5596,5550,437267350,78139,63993,580,167
NSW,2336,1440,1407,101584482,70545,55783,935,250
NSW,2337,4986,4920,503547561,100992,53653,186,79
NSW,2338,745,720,41779991,56081,43084,1961,465
NSW,2339,486,471,24789136,51006,42386,2320,546
NSW,2340,31445,31080,1965507499,62506,53433,1474,361
NSW,2341,703,690,37336196,53110,46385,2193,518
NSW,2342,314,308,17234703,54888,46219,2062,490
NSW,2343,2742,2667,146902150,53575,46659,2162,511
NSW,2344,455,439,24009186,52767,46912,2208,522
NSW,2345,430,420,24375541,56687,51976,1912,454
NSW,2346,1611,1579,83029110,51539,46288,2289,539
NSW,2347,821,786,36397641,44333,40898,2543,607
NSW,2350,14977,14760,934930840,62424,51116,1485,366
NSW,2352,1673,1651,99688045,59586,49494,1694,407
NSW,2353,637,630,34833086,54683,50436,2080,495
NSW,2354,2110,2044,102190847,48432,42439,2426,575
NSW,2355,357,345,16233386,45472,39017,2524,604
NSW,2356,57,57,2212370,38814,27370,2595,619
NSW,2357,2025,1966,100364584,49563,43818,2379,561
NSW,2358,2206,2164,113273458,51348,44885,2309,543
NSW,2359,390,379,14440536,37027,29887,2602,622
NSW,2360,7919,7785,421609019,53240,46828,2181,516
NSW,2361,454,437,15941070,35112,31836,2605,624
NSW,2365,2139,2079,105025801,49100,43118,2402,567
NSW,2369,387,379,17894930,46240,43228,2501,595
NSW,2370,3997,3902,183930519,46017,40036,2509,596
NSW,2371,578,557,22422513,38793,32341,2596,620
NSW,2372,2627,2549,118732983,45197,35976,2531,605
NSW,2379,189,179,10844377,57378,39278,1848,442
NSW,2380,6400,6332,452890837,70764,57119,915,245
NSW,2381,681,667,44248769,64976,53059,1301,323
NSW,2382,750,724,43919795,58560,49496,1774,427
NSW,2386,200,189,7399754,36999,42109,2603,623
NSW,2387,149,135,2260949,15174,43043,2621,629
NSW,2388,1443,1401,89446651,61987,51574,1519,373
NSW,2390,5084,4992,341972398,67264,55981,1153,296
NSW,2395,292,280,12496225,42795,38503,2565,611
NSW,2396,422,408,20827110,49353,41271,2391,563
NSW,2397,235,225,15011394,63878,49573,1377,338
NSW,2398,152,147,8759220,57626,50701,1831,439
NSW,2399,387,375,25540843,65997,55771,1229,313
NSW,2400,5573,5462,397386614,71306,57223,887,238
NSW,2401,185,169,7883423,42613,27487,2567,613
NSW,2402,958,920,48228454,50343,43732,2347,553
NSW,2403,352,332,15028040,42693,40059,2566,612
NSW,2404,894,865,38961060,43581,37009,2550,608
NSW,2405,276,260,19986979,72417,55327,826,225
NSW,2406,441,427,45844661,103956,56623,169,73
NSW,2408,220,204,11835958,53800,52557,2150,505
NSW,2409,364,350,21130606,58051,42555,1806,436
NSW,2410,116,108,5425016,46767,44638,2490,590
NSW,2411,55,51,2670243,48550,48120,2422,573
NSW,2415,217,210,9938000,45797,40617,2520,601
NSW,2420,2341,2289,148154098,63287,45018,1411,346
NSW,2421,1247,1235,84635838,67872,55381,1088,283
NSW,2422,2889,2809,140086168,48490,39223,2424,574
NSW,2423,1751,1721,83384723,47621,38274,2463,584
NSW,2424,244,233,9650651,39552,28985,2588,618
NSW,2425,1100,1085,62915696,57196,47942,1867,446
NSW,2426,400,394,18559520,46399,40691,2499,593
NSW,2427,1680,1660,85833920,51092,38121,2317,545
NSW,2428,13033,12879,717480801,55051,42465,2051,487
NSW,2429,5371,5282,265990688,49523,42771,2382,562
NSW,2430,19083,18882,1051137255,55082,45846,2050,486
NSW,2431,2924,2884,156682952,53585,43261,2161,510
NSW,2439,2110,2100,109208568,51758,43472,2273,536
NSW,2440,11285,11114,574643443,50921,44318,2327,547
NSW,2441,2596,2554,131128938,50512,40593,2340,549
NSW,2443,4571,4529,220448128,48228,39999,2439,577
NSW,2444,29926,29669,1881746553,62880,49519,1445,354
NSW,2445,4502,4458,257317364,57156,45411,1868,447
NSW,2446,8774,8661,488748961,55704,46757,2001,473
NSW,2447,4402,4336,222169702,50470,41598,2343,550
NSW,2448,4764,4703,288741074,60609,42496,1613,389
NSW,2449,1137,1109,48070509,42278,34333,2572,614
NSW,2450,28128,27837,1740747653,61887,48887,1522,374
NSW,2452,8468,8399,484849895,57257,48843,1860,444
NSW,2453,1565,1531,71530553,45706,36649,2522,602
NSW,2454,4586,4510,254443587,55483,42136,2016,477
NSW,2455,1712,1694,98029870,57260,47168,1859,443
NSW,2456,10486,10333,584602673,55751,46119,1996,471
NSW,2460,15916,15649,864036416,54287,46438,2113,497
NSW,2462,1319,1292,62864459,47661,39396,2462,583
NSW,2463,4550,4484,237446654,52186,42361,2245,528
NSW,2464,3988,3931,225391692,56517,43698,1924,457
NSW,2465,216,213,10548358,48835,39497,2410,570
NSW,2466,771,763,36510590,47355,36195,2469,585
NSW,2469,2080,1998,87363612,42002,34709,2576,615
NSW,2470,8321,8216,416336002,50034,47221,2369,560
NSW,2471,1459,1431,67852429,46506,40903,2495,591
NSW,2472,1065,1043,53942454,50650,45790,2339,548
NSW,2473,1669,1648,92853607,55634,45544,2009,475
NSW,2474,3601,3521,168504113,46794,38577,2489,589
NSW,2475,198,191,8552137,43193,34696,2557,609
NSW,2476,421,409,18939709,44987,34408,2537,606
NSW,2477,7671,7578,454615909,59264,47893,1723,414
NSW,2478,19475,19292,1256988354,64544,49374,1329,328
NSW,2479,3851,3794,343142009,89105,47320,318,112
NSW,2480,26181,25865,1465529713,55977,46821,1972,467
NSW,2481,10088,9954,752042656,74548,42411,716,200
NSW,2482,4626,4568,277776829,60047,36344,1651,396
NSW,2483,7265,7183,446619735,61476,44284,1543,379
NSW,2484,11266,11130,599997697,53257,43008,2180,515
NSW,2485,8861,8785,534575465,60329,47393,1634,395
NSW,2486,18847,18681,1139825161,60478,48852,1624,391
NSW,2487,9008,8914,701420746,77866,52050,589,169
NSW,2488,2104,2081,130110649,61840,49274,1527,375
NSW,2489,4374,4335,275596073,63008,49870,1434,349
NSW,2490,436,434,28060597,64359,54811,1349,332
NSW,2500,27778,27483,1917863986,69043,53280,1020,265
NSW,2502,6239,6177,353693888,56691,47923,1910,452
NSW,2505,2787,2774,191298694,68640,56726,1051,272
NSW,2506,3926,3892,233092788,59372,50262,1716,411
NSW,2508,5831,5798,485484207,83259,63756,433,138
NSW,2515,7473,7416,702423525,93995,62416,254,99
NSW,2516,4198,4179,388485281,92541,65639,275,103
NSW,2517,8077,8023,614807562,76118,59720,646,182
NSW,2518,11401,11312,813988844,71396,57207,883,237
NSW,2519,10336,10246,763513004,73869,56025,758,210
NSW,2520,136,135,10309187,75803,60242,661,187
NSW,2525,7487,7444,571375028,76316,60018,638,178
NSW,2526,10318,10255,769269743,74556,59650,713,199
NSW,2527,16529,16410,1130974910,68424,58771,1062,275
NSW,2528,12288,12208,764867874,62245,52106,1501,369
NSW,2529,17596,17520,1258000697,71494,57449,878,236
NSW,2530,20591,20451,1367860100,66430,55733,1196,303
NSW,2533,10403,10337,778455433,74830,52345,704,196
NSW,2534,3463,3425,275672147,79605,52686,521,159
NSW,2535,4505,4464,318605092,70723,46660,920,246
NSW,2536,10687,10558,591677253,55364,45000,2026,478
NSW,2537,7508,7460,434814876,57914,45981,1816,437
NSW,2538,1472,1452,93885901,63781,43955,1384,340
NSW,2539,11385,11265,612201854,53773,42330,2154,507
NSW,2540,25184,24958,1506619582,59824,48428,1674,403
NSW,2541,15457,15294,927685832,60017,50930,1654,397
NSW,2545,720,705,37090635,51515,43100,2291,540
NSW,2546,5387,5327,279571001,51897,39120,2265,534
NSW,2548,5123,5079,304475942,59433,47375,1713,409
NSW,2549,2448,2425,146384542,59798,47713,1677,404
NSW,2550,10343,10214,562057120,54342,45000,2105,496
NSW,2551,2111,2087,108852282,51564,43002,2286,538
NSW,2555,71,70,4463581,62867,45442,1446,355
NSW,2556,1411,1401,135821974,96259,52204,225,87
NSW,2557,13949,13805,1066582313,76463,66118,634,176
NSW,2558,6473,6412,405029253,62572,56966,1469,360
NSW,2559,1326,1294,70659400,53288,47848,2179,514
NSW,2560,46351,45791,2888287375,62313,55160,1496,368
NSW,2563,367,359,30711484,83683,67587,423,134
NSW,2564,7495,7364,418609290,55852,50995,1986,469
NSW,2565,20241,19962,1381477800,68251,59409,1065,276
NSW,2566,15979,15762,957282294,59909,54460,1666,399
NSW,2567,25495,25359,1925792382,75536,63932,672,191
NSW,2568,700,693,51839994,74057,55559,749,205
NSW,2569,839,832,60889762,72574,60179,820,223
NSW,2570,39447,39149,3042988866,77141,63930,611,172
NSW,2571,8388,8327,658937345,78557,63898,564,164
NSW,2572,3405,3381,236925544,69582,59518,988,256
NSW,2573,3598,3576,243231321,67602,58932,1117,289
NSW,2574,3527,3495,242656935,68800,56065,1033,269
NSW,2575,10945,10819,1053497025,96254,54808,226,88
NSW,2576,8733,8634,939971421,107634,50641,143,64
NSW,2577,10097,9968,746366779,73920,52742,757,209
NSW,2578,1729,1704,108197779,62578,42867,1468,359
NSW,2579,2649,2603,200940990,75855,52224,657,185
NSW,2580,17948,17730,1156785619,64452,54417,1339,331
NSW,2581,1539,1515,111732033,72600,60437,818,222
NSW,2582,8574,8472,663984166,77442,63883,597,171
NSW,2583,2631,2580,139699686,53098,43200,2195,519
NSW,2584,337,337,21042150,62440,50083,1481,365
NSW,2585,177,176,11421087,64526,47366,1331,329
NSW,2586,1585,1569,94091422,59364,46748,1718,413
NSW,2587,1512,1489,88825536,58747,48781,1758,422
NSW,2588,240,238,18233204,75972,52554,654,184
NSW,2590,3834,3781,222816226,58116,47831,1798,434
NSW,2594,6706,6591,385690593,57514,48205,1840,441
NSW,2618,968,958,140793979,145448,70255,35,20
NSW,2619,6429,6401,650675897,101210,86066,184,78
NSW,2620,30545,30312,2490558114,81537,70978,475,150
NSW,2621,4469,4432,410160168,91779,75968,281,105
NSW,2622,2536,2495,158444807,62478,49082,1476,362
NSW,2623,369,365,26614708,72127,64593,842,228
NSW,2624,69,66,3163967,45855,28192,2515,599
NSW,2625,215,210,14416798,67055,43681,1161,298
NSW,2626,337,330,22968052,68154,62811,1075,280
NSW,2627,3505,3470,242685907,69240,52802,1009,261
NSW,2628,1382,1366,84402455,61073,50428,1574,385
NSW,2629,260,253,13357162,51374,38386,2305,541
NSW,2630,5500,5449,372539976,67735,55693,1104,285
NSW,2631,357,352,17485321,48978,39491,2406,569
NSW,2632,1141,1120,66016668,57859,51266,1820,438
NSW,2633,186,183,8956622,48154,39602,2444,578
NSW,2640,25128,24917,1714346930,68225,55729,1068,278
NSW,2641,9382,9313,519143758,55334,50658,2033,480
NSW,2642,3474,3404,210037789,60460,50718,1625,392
NSW,2643,1829,1808,100230957,54801,49446,2069,491
NSW,2644,1493,1469,94956387,63601,49438,1396,343
NSW,2645,240,238,13676002,56983,46526,1885,449
NSW,2646,4102,4072,232145554,56593,48723,1918,455
NSW,2647,1486,1468,81649528,54946,46491,2058,489
NSW,2648,1318,1275,63447504,48139,43209,2445,579
NSW,2650,37509,37180,2578802494,68752,56714,1040,270
NSW,2651,1417,1413,89290154,63014,58091,1431,348
NSW,2652,3084,3018,189730025,61521,53501,1541,378
NSW,2653,1467,1443,86604136,59035,51073,1742,417
NSW,2655,851,839,47869398,56251,50650,1947,461
NSW,2656,755,737,48364000,64058,49872,1369,335
NSW,2658,796,781,42151827,52955,48275,2200,521
NSW,2659,531,524,27736440,52234,48125,2239,526
NSW,2660,900,884,53710055,59678,51045,1685,406
NSW,2661,141,141,12507889,88708,89889,326,116
